u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,speed_kph,travel_time,bridge,width,junction,ref,access
330634181,1378864817,0,1018644386,True,3,Carrera 40,residential,,False,85.626,"LINESTRING (-75.585504 6.1693426, -75.5858848 6.1687289, -75.5859062 6.1686848)",35.0,8.8,,,,,
330634666,1378816147,0,297281673,True,,Carrera 39,residential,,False,99.553,"LINESTRING (-75.5848597 6.1689187, -75.5843621 6.1696649)",35.0,10.2,,,,,
330634666,330634181,0,577258425,True,3,Calle 37 Sur,secondary,,False,85.412,"LINESTRING (-75.5848597 6.1689187, -75.585504 6.1693426)",50.0,6.1,,,,,
330634667,330634666,0,577258425,True,3,Calle 37 Sur,secondary,,False,70.831,"LINESTRING (-75.5843211 6.1685737, -75.5848597 6.1689187)",50.0,5.1,,,,,
330634667,330634995,0,123728026,True,2,Carrera 38,residential,,False,85.26,"LINESTRING (-75.5843211 6.1685737, -75.5847014 6.1679798, -75.5847356 6.1679271)",35.0,8.8,,,,,
330634667,1378816119,0,1018623735,False,2,Carrera 38,residential,,True,99.51899999999999,"LINESTRING (-75.5843211 6.1685737, -75.5839088 6.1692191, -75.5838802 6.1692832, -75.5838647 6.1693415)",35.0,10.2,,,,,
330634668,330634667,0,577258425,True,3,Calle 37 Sur,secondary,,False,71.733,"LINESTRING (-75.5837718 6.1682303, -75.5843211 6.1685737)",50.0,5.2,,,,,
330634668,1378816149,0,1018848145,True,1,Carrera 37,residential,,False,90.127,"LINESTRING (-75.5837718 6.1682303, -75.5833311 6.1689122)",35.0,9.3,,,,,
330634669,330634668,0,"[577258428, 351458389]",True,"['2', '3']",Calle 37 Sur,secondary,,False,65.426,"LINESTRING (-75.5832733 6.1679132, -75.583553 6.168089, -75.5837718 6.1682303)",50.0,4.7,,,,,
330634669,330634993,0,1018623736,True,2,Carrera 36,residential,,False,81.32900000000001,"LINESTRING (-75.5832733 6.1679132, -75.5836523 6.1673232, -75.5836693 6.1672968)",35.0,8.4,,,,,
330634987,5529679663,0,576533571,True,2,Diagonal 31,secondary,30,False,11.296,"LINESTRING (-75.580795 6.1649477, -75.5807139 6.1648859)",30.0,1.4,,,,,
330634987,9389496829,0,389248617,True,1,Carrera 29B,tertiary,,False,14.777000000000001,"LINESTRING (-75.580795 6.1649477, -75.5808126 6.1648916, -75.5808396 6.1648225)",60.0,0.9,,,,,
330634988,3572367369,0,577255132,True,3,Calle 38 Sur,secondary,30,False,46.555,"LINESTRING (-75.5812081 6.1654785, -75.5811774 6.1654401, -75.5809465 6.1651504)",30.0,5.6,,6,,,
330634988,9775935287,0,1018848587,True,2,Carrera 31,residential,,False,69.727,"LINESTRING (-75.5812081 6.1654785, -75.581176 6.1655291, -75.5808707 6.1660083)",35.0,7.2,,,,,
330634990,3924033388,0,577255133,True,2,Calle 38 Sur,secondary,30,False,16.772,"LINESTRING (-75.5821267 6.1662462, -75.5819935 6.166174)",30.0,2.0,,6,,,
330634990,9397383703,0,1018851100,True,2,Carrera 33,residential,,False,7.868,"LINESTRING (-75.5821267 6.1662462, -75.5820915 6.1663077)",35.0,0.8,,,,,
330634991,9397383706,0,576533589,True,1,Calle 38 Sur,secondary,30,False,9.267,"LINESTRING (-75.5826611 6.166558, -75.5825843 6.1665246)",30.0,1.1,,6,,,
330634991,1378816118,0,1018851099,True,1,Carrera 34,residential,,False,87.341,"LINESTRING (-75.5826611 6.166558, -75.5826793 6.1665291, -75.5830652 6.1659178, -75.5830811 6.1658927)",35.0,9.0,,,,,
330634992,9397383706,0,576533588,True,1,Calle 38 Sur,secondary,30,False,80.635,"LINESTRING (-75.5831526 6.1669711, -75.5831009 6.166937, -75.5827685 6.1667173, -75.5826953 6.1666538, -75.5826489 6.1666049, -75.5825843 6.1665246)",30.0,9.7,,6,,,
330634992,1378853843,0,1018848140,True,2,Carrera 35,residential,,False,83.155,"LINESTRING (-75.5831526 6.1669711, -75.5831411 6.1669878, -75.5827902 6.1674991, -75.5827095 6.1675723)",35.0,8.6,,,,,
330634993,5529679696,0,1018848147,True,2,Carrera 36,residential,,False,8.78,"LINESTRING (-75.5836693 6.1672968, -75.5837118 6.1672301)",35.0,0.9,,,,,
330634993,330634992,0,576533588,True,1,Calle 38 Sur,secondary,30,False,67.635,"LINESTRING (-75.5836693 6.1672968, -75.5836227 6.1672674, -75.583199 6.1670003, -75.5831526 6.1669711)",30.0,8.1,,6,,,
330634994,330634668,0,1018848145,True,1,Carrera 37,residential,,False,82.37799999999999,"LINESTRING (-75.5841853 6.167614, -75.5841683 6.1676382, -75.5841644 6.167644, -75.5837718 6.1682303)",35.0,8.5,,,,,
330634994,330634993,0,1018848148,True,1,Calle 38 Sur,secondary,30,False,67.07000000000001,"LINESTRING (-75.5841853 6.167614, -75.5841316 6.1675806, -75.5838454 6.1674023, -75.5837077 6.1673197, -75.5836693 6.1672968)",30.0,8.0,,6,,,
330634995,1378816116,0,123728026,True,2,Carrera 38,residential,,False,88.33300000000001,"LINESTRING (-75.5847356 6.1679271, -75.5847569 6.1678937, -75.5851533 6.1672729, -75.5851638 6.1672564)",35.0,9.1,,,,,
330634995,5529679702,0,906423565,True,3,Calle 38 Sur,secondary,40,False,33.281,"LINESTRING (-75.5847356 6.1679271, -75.5846681 6.1678845, -75.5844815 6.1677666)",40.0,3.0,,6,,,
330634997,330634666,0,297281673,True,,Carrera 39,residential,,False,83.776,"LINESTRING (-75.5852669 6.1682833, -75.5852366 6.1683316, -75.5848597 6.1689187)",35.0,8.6,,,,,
330634997,330634995,0,576533591,True,3,Calle 38 Sur,secondary,40,False,70.852,"LINESTRING (-75.5852669 6.1682833, -75.5852198 6.1682549, -75.5847749 6.1679526, -75.5847356 6.1679271)",40.0,6.4,,6,,,
330634999,1378816115,0,154884791,True,,Carrera 41,residential,,False,85.237,"LINESTRING (-75.5866253 6.169138, -75.5865994 6.1691769, -75.5862068 6.1697818)",35.0,8.8,,,,,
330634999,9292687813,0,577255130,True,3,Calle 38 Sur,secondary,30,False,43.369,"LINESTRING (-75.5866253 6.169138, -75.5866001 6.1691222, -75.5862932 6.1689304)",30.0,5.2,,6,,,
330635000,330634999,0,577255130,True,3,Calle 38 Sur,secondary,30,False,94.316,"LINESTRING (-75.5873415 6.1695989, -75.5873141 6.1695813, -75.5866655 6.1691639, -75.5866253 6.169138)",30.0,11.3,,6,,,
330635000,1194445107,0,1019184059,True,1,Carrera 42,residential,,False,93.31400000000001,"LINESTRING (-75.5873415 6.1695989, -75.5873609 6.169569, -75.5877989 6.1688936)",35.0,9.6,,,,,
330636754,8670491988,0,1292978638,True,2,Calle 25 Sur,secondary,,False,38.965,"LINESTRING (-75.5833447 6.1836363, -75.5833451 6.1835588, -75.5833384 6.183491, -75.5833173 6.1833705, -75.5832952 6.183291)",50.0,2.8,,,,,
330636756,3576471371,0,"[442843365, 1292978638]",True,2,Calle 25 Sur,secondary,,False,153.755,"LINESTRING (-75.5829131 6.1827578, -75.5828165 6.1826366, -75.5826639 6.1824757, -75.5825056 6.1823682, -75.5823219 6.1822855, -75.582163 6.1822322, -75.5820765 6.1821795, -75.5819913 6.1821109, -75.5819169 6.1820089, -75.5818733 6.1819042)",50.0,11.1,,,,,
330636767,4404924412,0,1150201140,True,2,Calle 25 Sur,secondary,,False,60.118,"LINESTRING (-75.581345 6.1798063, -75.5812151 6.1792813)",50.0,4.3,,,,,
330636767,569680295,0,44923416,False,,Diagonal 32,residential,40,False,221.595,"LINESTRING (-75.581345 6.1798063, -75.581367 6.1797629, -75.5815095 6.1794824, -75.5817009 6.1791089, -75.5822539 6.1780301)",40.0,19.9,,,,,
330636775,2946094166,0,"[1016762488, 576920916, 1016762487]",True,2,Transversal 32A Sur,residential,,False,51.633,"LINESTRING (-75.5805084 6.176244, -75.5804687 6.1762579, -75.5804459 6.1762644, -75.5801144 6.1763563, -75.5800837 6.1763649, -75.5800592 6.1763708)",35.0,5.3,yes,,,,
330636775,3270574368,0,1150201139,True,2,Calle 25 Sur,secondary,,False,49.271,"LINESTRING (-75.5805084 6.176244, -75.5805216 6.1762018, -75.5806486 6.1758234)",50.0,3.5,,,,,
330636776,3270600590,0,1003373100,True,2,Calle 25 Sur,secondary,,False,43.775,"LINESTRING (-75.580728 6.1755843, -75.5808638 6.1752145)",50.0,3.2,,,,,
330636776,3270600589,0,1016538329,True,1,Transversal 32C Sur,residential,,False,19.68,"LINESTRING (-75.580728 6.1755843, -75.5808965 6.1755272)",35.0,2.0,,,,,
330636777,569680287,0,30028618,True,,Transversal 33 Sur,residential,,False,48.1,"LINESTRING (-75.5810018 6.1748765, -75.5810437 6.1748634, -75.581417 6.1747472)",35.0,4.9,,,,,
330636777,330636779,0,1003373100,True,2,Calle 25 Sur,secondary,,False,62.958,"LINESTRING (-75.5810018 6.1748765, -75.5811567 6.1744222, -75.5811775 6.1743382)",50.0,4.5,,,,,
330636779,569680271,0,30028680,False,,Transversal 33A Sur,residential,,True,10.028,"LINESTRING (-75.5811775 6.1743382, -75.5812244 6.1743224, -75.5812634 6.1743092)",35.0,1.0,,,,,
330636779,330642288,0,1003373100,True,2,Calle 25 Sur,secondary,,False,71.37,"LINESTRING (-75.5811775 6.1743382, -75.5811816 6.174289, -75.581179 6.1742006, -75.5811651 6.1741064, -75.5811301 6.1740028, -75.581048 6.1738003, -75.5810148 6.1737261)",50.0,5.1,,,,,
