u,v,geometry,speed_mps,weigth
330634995,1378816116,"LINESTRING (-75.5847356 6.1679271, -75.5847569 6.1678937, -75.5851533 6.1672729, -75.5851638 6.1672564)",5.0,23.07
330634995,5529679702,"LINESTRING (-75.5847356 6.1679271, -75.5846681 6.1678845, -75.5844815 6.1677666)",8.3,5.851
330634997,330634666,"LINESTRING (-75.5852669 6.1682833, -75.5852366 6.1683316, -75.5848597 6.1689187)",6.4,18.106
330634997,330634995,"LINESTRING (-75.5852669 6.1682833, -75.5852198 6.1682549, -75.5847749 6.1679526, -75.5847356 6.1679271)",9.4,11.209
330634999,1378816115,"LINESTRING (-75.5866253 6.169138, -75.5865994 6.1691769, -75.5862068 6.1697818)",5.8,19.85
330634999,9292687813,"LINESTRING (-75.5866253 6.169138, -75.5866001 6.1691222, -75.5862932 6.1689304)",8.9,6.926
330635000,330634999,"LINESTRING (-75.5873415 6.1695989, -75.5873141 6.1695813, -75.5866655 6.1691639, -75.5866253 6.169138)",9.475,20.397
330635000,1194445107,"LINESTRING (-75.5873415 6.1695989, -75.5873609 6.169569, -75.5877989 6.1688936)",6.733333333333333,45.128
330636754,8670491988,"LINESTRING (-75.5833447 6.1836363, -75.5833451 6.1835588, -75.5833384 6.183491, -75.5833173 6.1833705, -75.5832952 6.183291)",9.4,5.059
330636756,3576471371,"LINESTRING (-75.5829131 6.1827578, -75.5828165 6.1826366, -75.5826639 6.1824757, -75.5825056 6.1823682, -75.5823219 6.1822855, -75.582163 6.1822322, -75.5820765 6.1821795, -75.5819913 6.1821109, -75.5819169 6.1820089, -75.5818733 6.1819042)",9.2,21.58
330636767,4404924412,"LINESTRING (-75.581345 6.1798063, -75.5812151 6.1792813)",9.4,7.782
330636767,569680295,"LINESTRING (-75.581345 6.1798063, -75.581367 6.1797629, -75.5815095 6.1794824, -75.5817009 6.1791089, -75.5822539 6.1780301)",6.55,43.121
330636775,2946094166,"LINESTRING (-75.5805084 6.176244, -75.5804687 6.1762579, -75.5804459 6.1762644, -75.5801144 6.1763563, -75.5800837 6.1763649, -75.5800592 6.1763708)",6.631372549019607,238.256
330636775,3270574368,"LINESTRING (-75.5805084 6.176244, -75.5805216 6.1762018, -75.5806486 6.1758234)",8.6,7.971
330636776,3270600590,"LINESTRING (-75.580728 6.1755843, -75.5808638 6.1752145)",10.3,5.244
330636776,3270600589,"LINESTRING (-75.580728 6.1755843, -75.5808965 6.1755272)",8.3,2.94
330636777,569680287,"LINESTRING (-75.5810018 6.1748765, -75.5810437 6.1748634, -75.581417 6.1747472)",5.0,13.76
330636777,330636779,"LINESTRING (-75.5810018 6.1748765, -75.5811567 6.1744222, -75.5811775 6.1743382)",8.9,8.682
330636779,569680271,"LINESTRING (-75.5811775 6.1743382, -75.5812244 6.1743224, -75.5812634 6.1743092)",2.8,5.41
330636779,330642288,"LINESTRING (-75.5811775 6.1743382, -75.5811816 6.174289, -75.581179 6.1742006, -75.5811651 6.1741064, -75.5811301 6.1740028, -75.581048 6.1738003, -75.5810148 6.1737261)",4.7,19.418
330636782,2946094145,"LINESTRING (-75.5803502 6.1719422, -75.5803146 6.1719557, -75.5802551 6.1719765, -75.5801478 6.172013, -75.5801037 6.1720282, -75.580093 6.1720323, -75.5800583 6.1720438)",4.45,12.473
330636782,9259246569,"LINESTRING (-75.5803502 6.1719422, -75.5803498 6.1719093, -75.5804166 6.1712265)",8.1,13.166
330636786,330636787,"LINESTRING (-75.5808795 6.169846, -75.5808739 6.1698195, -75.580758 6.1692801)",8.3,10.408
330636787,1378851426,"LINESTRING (-75.580758 6.1692801, -75.5806517 6.1688226)",9.2,6.949
330636787,1378851452,"LINESTRING (-75.580758 6.1692801, -75.5808129 6.1692756, -75.5809777 6.1692622, -75.5810944 6.1692543, -75.5812124 6.1692291, -75.5813305 6.1691837, -75.5818651 6.168945)",6.400000000000001,26.734
330636789,330631201,"LINESTRING (-75.5811782 6.1665807, -75.5812095 6.1665332, -75.5815635 6.165995, -75.5815922 6.1659441, -75.5816135 6.1659054)",4.2,27.132
330636789,1378816113,"LINESTRING (-75.5811782 6.1665807, -75.5812606 6.1666336, -75.5816875 6.1669181)",5.6,15.945
330642287,569680248,"LINESTRING (-75.5845051 6.1722876, -75.584354 6.1719137)",4.7,11.674
330642287,330647593,"LINESTRING (-75.5845051 6.1722876, -75.585175 6.1720054)",6.1,16.237
330642288,9375469085,"LINESTRING (-75.5810148 6.1737261, -75.5810644 6.1737061, -75.5817245 6.1734388)",5.0,22.825
330642288,330642825,"LINESTRING (-75.5810148 6.1737261, -75.5810006 6.173686, -75.5808432 6.1733056)",4.783333333333333,84.104
330642391,330642580,"LINESTRING (-75.5855418 6.1734969, -75.5855309 6.1737135, -75.5855138 6.1738453, -75.5854789 6.1739915)",4.4,15.435
330642391,1656651159,"LINESTRING (-75.5855418 6.1734969, -75.5856418 6.173506, -75.5857379 6.1735168)",3.6,7.463
330642580,569680254,"LINESTRING (-75.5854789 6.1739915, -75.58522 6.1740849)",2.2,17.089
330642580,330644600,"LINESTRING (-75.5854789 6.1739915, -75.5852529 6.1747363)",3.9,27.405
330642825,330642883,"LINESTRING (-75.5808432 6.1733056, -75.580663 6.1728514)",6.8,17.907
330642881,330647482,"LINESTRING (-75.5841805 6.1714525, -75.5848185 6.1712081)",4.7,19.715
330642881,569680245,"LINESTRING (-75.5841805 6.1714525, -75.5835346 6.1717068)",1.9,48.51
